DBP8
SHE3
RPL5
SIR1
ECM25
BUD20
RIB3
RTF1
LDS1
SLM1
TOR2
GLE1
VMA6
APC1
RPN7
MRPS9
zz-YIL161W
BNA5
SHE9
RIB5
PIM1
DUR3
ALR2
SSK22
ATG8
SNU66
UTP18
VPS75
IBA57
RRT14
SEC2
HIS3
RPS1A
