readname	strand	cluster
79891	1	1
79885	-1	1
79889	1	0
79897	-1	1
79902	1	0
79936	-1	0
79951	-1	0
79954	1	1
79962	1	2
79979	1	0
79978	-1	0
79980	1	2
79987	-1	2
79989	1	1
79996	1	0
80002	1	0
79999	1	0
79995	-1	2
80013	-1	2
80008	-1	1
80012	1	1
80020	-1	1
80026	-1	0
80036	1	1
80034	-1	0
80016	1	1
80022	1	2
80030	1	2
80029	-1	1
80035	1	0
80041	-1	2
80040	-1	0
80038	1	1
80058	1	0
80048	-1	2
80051	-1	2
80054	-1	0
80047	-1	2
80063	-1	0
80065	-1	0
80064	-1	2
80056	-1	0
80059	1	1
80060	1	2
80067	-1	0
