readname	strand	cluster
61919	1	1
62016	1	1
62141	1	1
62162	1	1
62179	-1	1
62176	-1	1
62165	1	1
62180	-1	1
62193	-1	0
62198	1	1
62200	1	1
62190	-1	0
62217	1	1
62220	-1	0
62222	1	0
62234	1	1
62218	-1	1
62195	-1	0
62233	-1	1
62231	-1	0
62225	-1	1
62236	-1	0
62244	-1	0
62245	-1	0
62243	1	1
62235	-1	1
62239	-1	0
62254	-1	0
62256	1	1
62257	-1	0
62242	1	1
62251	-1	0
62253	-1	1
62250	1	0
